Defender,Num_Patterns,Total_Support
Sunil Kumar,7,43
Mahender Singh,9,80
Parvesh Bhainswal,8,46
Amit Sheoran,3,23
Ashish Kumar,1,5
Jeeva Kumar,2,11
Nitesh Kumar,12,102
Joginder Narwal,5,30
Ravinder Pahal,5,35
Ruturaj Koravi,1,6
Ran Singh,1,10
Surjeet Singh,4,28
Surender Singh,2,14
Fazel Atrachali,10,81
Rohit Rana,1,10
Dharmaraj Cheralathan,2,10
Sandeep Dhull,10,78
Baldev Singh,2,14
Abozar Mohajermighani,4,30
Sombir,5,33
Sunil,5,37
Amit Hooda,1,7
Jaideep,4,30
Sandeep Narwal,1,5
Rinku Narwal,2,10
Ravi Kumar,1,5
Vishal Bhardwaj,5,46
Girish Maruti Ernak,6,41
Mohsen Maghsoudlou,1,5
Ponparthiban Subramanian,1,6
Vikas Kale,2,10
Raju Lal Choudhary,1,5
Sunil Siddhgavali,1,5
Manjeet Chhillar,3,20
Sandeep,1,5
Ankit,1,9
Nitin Rawal,1,5
Esmaeil Nabibakhsh,2,11
Surinder Singh,2,10
Saurabh Nandal,8,67
Sumit,9,61
Ashu Singh,1,7
Sagar,5,28
M. Abishek,2,10
Neeraj Kumar,5,33
Ankush,3,19
Aman,4,22
Shadloui Chianeh,10,72
Krishan,1,9
Abinesh Nadarajan,2,11
Mohit Goyat,1,5
Jaideep Kuldeep,6,40
Rahul Sethpal,1,9
Vishal Lather,3,15
Sagar Rathee,2,12
Ashish,1,5
Sourav Gulia,1,5
Rinku Hc,3,18
Mohit Jakhar,1,5
Sahil Gulia,4,23
Shaul Kumar,1,8
Sandeep Kandola,1,5
Sahul Kumar,1,6
Gaurav Khatri,1,9
Reza Mirbagheri,2,15
Mohit Khaler,1,6
Mohit Nandal,2,11
Yogesh Dahiya,1,6
Hitesh,1,7
Mohammadreza Shadloui,2,10
Rahul,1,7
Yogesh,1,5
Ankush Rathee,1,5
Satyappa Matti,1,5
Deepak Sankar,1,7
