From_Token,To_Token,Support
doordie_tackle_fail_Bengaluru Bulls_vs_U.P. Yoddha,doordie_tackle_fail_Bengaluru Bulls_vs_U.P. Yoddha,14
doordie_tackle_fail_Bengal Warriors_vs_U.P. Yoddha,doordie_tackle_fail_Bengal Warriors_vs_U.P. Yoddha,12
regular_tackle_fail_nan_vs_Tamil Thalaivas,regular_tackle_fail_nan_vs_Tamil Thalaivas,11
regular_tackle_fail_nan_vs_U Mumba,regular_tackle_fail_nan_vs_U Mumba,10
doordie_tackle_fail_Telugu Titans_vs_U.P. Yoddha,doordie_tackle_fail_Telugu Titans_vs_U.P. Yoddha,9
doordie_tackle_fail_Patna Pirates_vs_U.P. Yoddha,doordie_tackle_fail_Patna Pirates_vs_U.P. Yoddha,9
doordie_tackle_fail_U Mumba_vs_U.P. Yoddha,doordie_tackle_fail_U Mumba_vs_U.P. Yoddha,8
doordie_tackle_fail_Haryana Steelers_vs_U.P. Yoddha,doordie_tackle_fail_Haryana Steelers_vs_U.P. Yoddha,8
doordie_tackle_fail_Tamil Thalaivas_vs_U.P. Yoddha,doordie_tackle_fail_Tamil Thalaivas_vs_U.P. Yoddha,6
doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,doordie_tackle_fail_Gujarat Giants_vs_U.P. Yoddha,5
doordie_tackle_fail_Jaipur Pink Panthers_vs_U.P. Yoddha,doordie_tackle_fail_Jaipur Pink Panthers_vs_U.P. Yoddha,5
regular_tackle_fail_nan_vs_Tamil Thalaivas,doordie_tackle_fail_nan_vs_Tamil Thalaivas,5
